Designator,Mid X,Mid Y,Rotation,Layer
C1,112.649,-112.959,0.0,top
C2,117.662,-112.959,0.0,top
C3,123.063,-99.802,270.0,top
C4,113.304,-129.286,0.0,top
C5,118.892,-129.286,0.0,top
D1,128.143,-100.076,270.0,top
D2,132.842,-100.076,270.0,top
D3,142.494,-94.488,0.0,top
J1,126.746,-109.982,90.0,top
J10,181.102,-115.067,180.0,top
J11,177.292,-124.968,270.0,top
J12,177.292,-130.81,270.0,top
J13,120.0345,-61.4085,0.0,top
J14,134.0845,-61.4085,0.0,top
J15,147.7205,-61.6625,0.0,top
J16,113.3515,-99.2945,90.0,top
J2,131.572,-129.032,90.0,top
J4,115.062,-108.458,90.0,top
J5,123.444,-122.687,0.0,top
J6,124.46,-129.032,90.0,top
J7,166.37,-111.252,90.0,top
J8,176.276,-117.617,180.0,top
J9,162.052,-115.57,90.0,top
K1,119.126,-80.01,90.0,top
K2,140.62,-80.01,90.0,top
Q1,127.762,-115.245,180.0,top
Q2,131.572,-122.611,180.0,top
Q3,138.938,-99.716,0.0,top
Q4,147.32,-99.716,0.0,top
R1,141.732,-115.062,0.0,top
R2,141.732,-118.618,180.0,top
R3,141.732,-111.252,0.0,top
R4,141.732,-122.428,180.0,top
R5,141.732,-107.696,180.0,top
R6,141.732,-104.14,0.0,top
U1,115.062,-117.531,0.0,top
U2,114.808,-124.643,180.0,top
U3,158.496,-126.746,270.0,top
U4,174.9875,-80.144,0.0,top
